i x y side frame field experiment
55 572 630 sx 3 0 .
56 573 651 sx 3 0 .
57 569 670 sx 3 0 .
58 560 687 sx 3 0 .
59 556 707 sx 3 0 .
60 566 720 sx 3 0 .
61 583 726 sx 3 0 .
62 574 740 sx 3 0 .
63 574 761 sx 3 0 .
64 571 780 sx 3 0 .
65 573 801 sx 3 0 .
66 592 801 sx 3 0 .
67 610 797 sx 3 0 .
68 619 813 sx 3 0 .
69 635 823 sx 3 0 .
70 645 838 sx 3 0 .
71 655 854 sx 3 0 .
72 646 872 sx 3 0 .
73 631 871 sx 3 0 .
74 613 860 sx 3 0 .
75 599 873 sx 3 0 .
76 580 868 sx 3 0 .
77 563 861 sx 3 0 .
78 555 878 sx 3 0 .
79 550 897 sx 3 0 .
80 550 915 sx 3 0 .
81 552 930 sx 3 0 .
82 547 945 sx 3 0 .
83 544 964 sx 3 0 .
84 536 981 sx 3 0 .
85 542 1004 sx 3 0 .
86 535 1021 sx 3 0 .
87 538 1043 sx 3 0 .
88 530 1061 sx 3 0 .
89 524 1080 sx 3 0 .
90 531 1100 sx 3 0 .
91 542 1114 sx 3 0 .
92 555 1101 sx 3 0 .
93 564 1090 sx 3 0 .
94 569 1110 sx 3 0 .
95 557 1126 sx 3 0 .
96 542 1136 sx 3 0 .
97 549 1156 sx 3 0 .
98 543 1175 sx 3 0 .
99 546 1195 sx 3 0 .
0 1054 7 dx 4 0 .
1 1049 27 dx 4 0 .
2 1039 43 dx 4 0 .
3 1025 59 dx 4 0 .
4 1033 81 dx 4 0 .
5 1035 102 dx 4 0 .
6 1035 124 dx 4 0 .
7 1034 146 dx 4 0 .
8 1018 159 dx 4 0 .
9 1008 177 dx 4 0 .
10 1008 200 dx 4 0 .
11 1006 220 dx 4 0 .
12 1010 242 dx 4 0 .
13 1020 258 dx 4 0 .
14 1015 270 dx 4 0 .
15 1027 285 dx 4 0 .
16 1015 301 dx 4 0 .
17 1000 289 dx 4 0 .
18 995 269 dx 4 0 .
19 987 285 dx 4 0 .
20 985 306 dx 4 0 .
21 979 327 dx 4 0 .
22 985 350 dx 4 0 .
23 991 374 dx 4 0 .
24 983 396 dx 4 0 .
25 981 417 dx 4 0 .
26 963 420 dx 4 0 .
27 945 429 dx 4 0 .
28 924 423 dx 4 0 .
29 906 432 dx 4 0 .
30 906 454 dx 4 0 .
31 920 465 dx 4 0 .
32 934 476 dx 4 0 .
33 940 494 dx 4 0 .
34 960 497 dx 4 0 .
35 960 520 dx 4 0 .
36 975 533 dx 4 0 .
37 992 539 dx 4 0 .
38 996 560 dx 4 0 .
39 1001 580 dx 4 0 .
40 1007 600 dx 4 0 .
41 1014 619 dx 4 0 .
42 1020 639 dx 4 0 .
43 1021 660 dx 4 0 .
44 1013 677 dx 4 0 .
45 998 691 dx 4 0 .
46 977 687 dx 4 0 .
47 964 698 dx 4 0 .
48 959 717 dx 4 0 .
49 941 722 dx 4 0 .
50 940 738 dx 4 0 .
51 962 738 dx 4 0 .
52 962 760 dx 4 0 .
53 940 763 dx 4 0 .
54 930 781 dx 4 0 .
55 937 802 dx 4 0 .
56 956 810 dx 4 0 .
57 954 830 dx 4 0 .
58 949 847 dx 4 0 .
59 966 858 dx 4 0 .
60 988 862 dx 4 0 .
61 1000 876 dx 4 0 .
62 983 889 dx 4 0 .
63 962 879 dx 4 0 .
64 942 885 dx 4 0 .
65 939 902 dx 4 0 .
66 961 896 dx 4 0 .
67 971 916 dx 4 0 .
68 952 928 dx 4 0 .
69 934 916 dx 4 0 .
70 931 907 dx 4 0 .
71 931 921 dx 4 0 .
72 939 939 dx 4 0 .
73 959 946 dx 4 0 .
74 980 950 dx 4 0 .
75 983 969 dx 4 0 .
76 997 982 dx 4 0 .
77 1010 983 dx 4 0 .
78 1030 985 dx 4 0 .
79 1028 1008 dx 4 0 .
80 1016 1022 dx 4 0 .
81 1002 1034 dx 4 0 .
82 1008 1054 dx 4 0 .
83 1007 1077 dx 4 0 .
84 986 1081 dx 4 0 .
85 973 1094 dx 4 0 .
86 968 1109 dx 4 0 .
87 972 1130 dx 4 0 .
88 980 1148 dx 4 0 .
89 983 1165 dx 4 0 .
90 963 1171 dx 4 0 .
91 949 1158 dx 4 0 .
92 947 1140 dx 4 0 .
93 945 1117 dx 4 0 .
94 925 1120 dx 4 0 .
95 905 1129 dx 4 0 .
96 884 1132 dx 4 0 .
97 875 1151 dx 4 0 .
98 882 1171 dx 4 0 .
99 884 1194 dx 4 0 .
0 644 29 sx 4 0 .
1 622 37 sx 4 0 .
2 601 45 sx 4 0 .
3 587 63 sx 4 0 .
4 602 79 sx 4 0 .
